llm,cohort,question,mean_en,mean_zh,delta,delta_ci_lo,delta_ci_hi
kimi-k2.7-code,Chinese,A165,1.94,1.6,-0.33999999999999986,-0.52,-0.15999999999999992
kimi-k2.7-code,Chinese,E018,1.6,1.74,0.1399999999999999,-0.15999999999999992,0.41999999999999993
kimi-k2.7-code,Chinese,E025,1.42,1.92,0.5,0.3400000000000001,0.6599999999999999
kimi-k2.7-code,Chinese,F063,6.06,5.18,-0.8799999999999999,-1.62,-0.05999999999999961
kimi-k2.7-code,Chinese,F118,8.9,9.2,0.29999999999999893,-0.5005,1.1400000000000006
kimi-k2.7-code,Chinese,F120,5.32,5.64,0.3199999999999994,-0.0004999999999999609,0.6799999999999997
kimi-k2.7-code,Chinese,G006,2.12,2.12,0.0,-0.20000000000000018,0.20000000000000018
kimi-k2.7-code,Chinese,Y002,1.92,2.32,0.3999999999999999,-0.20000000000000018,0.96
kimi-k2.7-code,Chinese,Y003,1.46,1.98,0.52,0.3799999999999999,0.6399999999999999
minimax-m2.7,Chinese,A008,2.0,2.0,0.0,0.0,0.0
minimax-m2.7,Chinese,A165,1.8,1.14,-0.6600000000000001,-0.8199999999999998,-0.48
minimax-m2.7,Chinese,E018,1.58,1.66,0.07999999999999985,-0.1399999999999999,0.30000000000000004
minimax-m2.7,Chinese,E025,1.72,1.88,0.15999999999999992,-0.040000000000000036,0.3400000000000001
minimax-m2.7,Chinese,F063,7.2,7.1,-0.10000000000000053,-0.6000000000000005,0.44049999999999767
minimax-m2.7,Chinese,F118,8.74,9.5,0.7599999999999998,0.08000000000000007,1.42
minimax-m2.7,Chinese,F120,5.62,6.040816326530612,0.42081632653061174,0.01160416666666673,0.8292291666666662
minimax-m2.7,Chinese,G006,1.92,1.64,-0.28,-0.43999999999999995,-0.11999999999999988
minimax-m2.7,Chinese,Y002,2.08,1.36,-0.72,-0.9400000000000002,-0.5
minimax-m2.7,Chinese,Y003,1.6,1.78,0.17999999999999994,0.0,0.3400000000000001
minimax-m3,Chinese,A008,1.98,2.0,0.020000000000000018,-0.040000000000000036,0.08000000000000007
minimax-m3,Chinese,A165,1.94,1.64,-0.30000000000000004,-0.43999999999999995,-0.14000000000000012
minimax-m3,Chinese,E018,2.16,1.92,-0.2400000000000002,-0.44000000000000017,-0.020000000000000018
minimax-m3,Chinese,E025,1.88,1.96,0.08000000000000007,-0.06000000000000005,0.20000000000000018
minimax-m3,Chinese,F063,4.98,6.375,1.3949999999999996,0.7599999999999998,2.2801249999999995
minimax-m3,Chinese,F118,8.0,9.675675675675675,1.6756756756756754,0.7793940256045524,2.5711190476190473
minimax-m3,Chinese,F120,5.02,5.340425531914893,0.32042553191489365,0.11626098191214491,0.541666666666667
minimax-m3,Chinese,G006,1.58,1.7551020408163265,0.1751020408163264,-0.06000000000000005,0.41999999999999993
minimax-m3,Chinese,Y002,1.16,1.26,0.10000000000000009,-0.09999999999999987,0.31999999999999984
minimax-m3,Chinese,Y003,1.08,1.98,0.8999999999999999,0.7,1.0804999999999974
mistral-large-3:675b,Western,A008,2.0,2.0,0.0,0.0,0.0
mistral-large-3:675b,Western,A165,1.84,1.3,-0.54,-0.8399999999999999,-0.16000000000000014
mistral-large-3:675b,Western,E018,2.88,3.0,0.1200000000000001,0.0,0.31999999999999984
mistral-large-3:675b,Western,E025,2.0,1.64,-0.3600000000000001,-0.6000000000000001,-0.1399999999999999
mistral-large-3:675b,Western,F063,7.26,7.54,0.28000000000000025,-0.5800000000000001,1.1400000000000006
mistral-large-3:675b,Western,F118,8.24,8.76,0.5199999999999996,-0.5205000000000013,1.54
mistral-large-3:675b,Western,F120,7.04,7.0,-0.040000000000000036,-0.1200000000000001,0.0
mistral-large-3:675b,Western,G006,2.0,1.76,-0.24,-0.43999999999999995,-0.08000000000000007
mistral-large-3:675b,Western,Y002,1.12,2.04,0.9199999999999999,0.7,1.08
mistral-large-3:675b,Western,Y003,1.14,1.58,0.44000000000000017,0.21999999999999997,0.6599999999999999
nemotron-3-nano:30b,Western,A008,2.06,2.06,0.0,-0.08000000000000007,0.08000000000000007
nemotron-3-nano:30b,Western,A165,1.46,1.12,-0.33999999999999986,-0.48,-0.19999999999999996
nemotron-3-nano:30b,Western,E018,1.92,1.94,0.020000000000000018,-0.09999999999999987,0.1399999999999999
nemotron-3-nano:30b,Western,E025,1.92,2.0,0.08000000000000007,-0.1200000000000001,0.30000000000000004
nemotron-3-nano:30b,Western,F063,6.1,6.32,0.22000000000000064,-0.3600000000000003,0.8199999999999994
nemotron-3-nano:30b,Western,F118,7.44,7.02,-0.4200000000000008,-0.9799999999999995,0.180499999999997
nemotron-3-nano:30b,Western,F120,5.2,5.26,0.05999999999999961,-0.1200000000000001,0.2400000000000002
nemotron-3-nano:30b,Western,G006,1.98,2.16,0.18000000000000016,-0.040000000000000036,0.3999999999999999
nemotron-3-nano:30b,Western,Y002,2.18,2.18,0.0,-0.2799999999999998,0.26000000000000023
nemotron-3-nano:30b,Western,Y003,1.7142857142857142,1.7083333333333333,-0.005952380952380931,-0.1505391156462585,0.152644943268704
nemotron-3-super,Western,A008,2.0,2.0,0.0,0.0,0.0
nemotron-3-super,Western,A165,1.72,1.46,-0.26,-0.48,-0.020000000000000018
nemotron-3-super,Western,E018,1.64,1.74,0.10000000000000009,-0.1399999999999999,0.33999999999999986
nemotron-3-super,Western,E025,1.78,1.88,0.09999999999999987,-0.21999999999999997,0.4004999999999974
nemotron-3-super,Western,F063,5.0,5.06,0.05999999999999961,-0.28000000000000025,0.40000000000000036
nemotron-3-super,Western,F118,8.56,9.52,0.9599999999999991,0.16000000000000014,1.8604999999999976
nemotron-3-super,Western,F120,5.38,5.755102040816326,0.37510204081632637,-0.03332003546099344,0.7600102040816323
nemotron-3-super,Western,G006,2.0,2.12,0.1200000000000001,-0.020000000000000018,0.2999999999999998
nemotron-3-super,Western,Y002,1.82,1.9,0.07999999999999985,-0.4600000000000002,0.6204999999999974
nemotron-3-super,Western,Y003,1.24,1.44,0.19999999999999996,-0.040000000000000036,0.43999999999999995
nemotron-3-ultra,Western,A008,2.0,2.0,0.0,0.0,0.0
nemotron-3-ultra,Western,A165,1.66,1.44,-0.21999999999999997,-0.5599999999999998,0.1399999999999999
nemotron-3-ultra,Western,E018,1.7,1.78,0.08000000000000007,-0.24,0.40000000000000013
nemotron-3-ultra,Western,E025,1.36,1.74,0.3799999999999999,0.11999999999999988,0.6400000000000001
nemotron-3-ultra,Western,F063,6.479166666666667,6.325581395348837,-0.15358527131783006,-0.9412575757575754,0.6322228260869568
nemotron-3-ultra,Western,F118,9.676470588235293,9.055555555555555,-0.6209150326797381,-1.6774257882023904,0.3614018334606554
nemotron-3-ultra,Western,F120,5.793103448275862,6.25,0.4568965517241379,0.004756097560975621,1.1945833333333327
nemotron-3-ultra,Western,G006,2.020408163265306,1.9148936170212767,-0.10551454624402923,-0.3061649659863947,0.11375531226903125
nemotron-3-ultra,Western,Y002,1.84,1.84,0.0,-0.48,0.5
nemotron-3-ultra,Western,Y003,1.2,1.92,0.72,0.4595,0.98
qwen3.5:397b,Chinese,A008,2.0,1.98,-0.020000000000000018,-0.06000000000000005,0.0
qwen3.5:397b,Chinese,A165,2.0,1.16,-0.8400000000000001,-0.94,-0.72
qwen3.5:397b,Chinese,E018,1.92,2.02,0.10000000000000009,0.040000000000000036,0.17999999999999994
qwen3.5:397b,Chinese,E025,1.08,1.68,0.5999999999999999,0.3799999999999999,0.78
qwen3.5:397b,Chinese,F063,5.92,5.64,-0.28000000000000025,-1.1599999999999993,0.5999999999999996
qwen3.5:397b,Chinese,F118,10.0,10.0,0.0,0.0,0.0
qwen3.5:397b,Chinese,F120,5.042553191489362,5.0,-0.042553191489361986,-0.12765957446808507,0.0
qwen3.5:397b,Chinese,G006,1.88,1.5,-0.3799999999999999,-0.56,-0.19999999999999996
qwen3.5:397b,Chinese,Y002,1.2,1.16,-0.040000000000000036,-0.3999999999999999,0.3400000000000001
qwen3.5:397b,Chinese,Y003,1.46,1.96,0.5,0.21999999999999997,0.76
